"slugSeason","nameTeam","namePlayer","statusPlayer","isFinalSeason","isWaived","isOnRoster","isNonGuaranteed","isTeamOption","isPlayerOption","typeContractDetail","value"
"2020-21","Atlanta Hawks","Bogdan Bogdanovic","current roster","0","0","1","0","0","0","Guaranteed","18000000.0"
"2021-22","Atlanta Hawks","Bogdan Bogdanovic","current roster","0","0","1","0","0","0","Guaranteed","18000000.0"
"2022-23","Atlanta Hawks","Bogdan Bogdanovic","current roster","0","0","1","0","0","0","Guaranteed","18000000.0"
"2023-24","Atlanta Hawks","Bogdan Bogdanovic","current roster","1","0","1","0","0","1","Player Option","18000000.0"
"2020-21","Atlanta Hawks","Brandon Goodwin","current roster","0","0","1","0","0","0","Guaranteed","1701593.0"
"2021-22","Atlanta Hawks","Brandon Goodwin","current roster","1","0","1","0","0","0","Qualifying Offer","2126991.0"
"2020-21","Atlanta Hawks","Bruno Fernando","current roster","0","0","1","0","0","0","Guaranteed","1517981.0"
"2021-22","Atlanta Hawks","Bruno Fernando","current roster","0","0","1","0","0","0","Guaranteed","1782621.0"
"2022-23","Atlanta Hawks","Bruno Fernando","current roster","1","0","1","0","0","0","Qualifying Offer","2228276.0"
"2020-21","Atlanta Hawks","Cam Reddish","current roster","0","0","1","0","0","0","Guaranteed","4458000.0"
"2021-22","Atlanta Hawks","Cam Reddish","current roster","0","0","1","0","0","0","Guaranteed","4670160.0"
"2022-23","Atlanta Hawks","Cam Reddish","current roster","0","0","1","0","1","0","Team Option","5954454.0"
"2023-24","Atlanta Hawks","Cam Reddish","current roster","1","0","1","0","0","0","Qualifying Offer","8109966.0"
"2020-21","Atlanta Hawks","Clint Capela","current roster","0","0","1","0","0","0","Guaranteed","16000000.0"
"2021-22","Atlanta Hawks","Clint Capela","current roster","0","0","1","0","0","0","Guaranteed","17103448.0"
"2022-23","Atlanta Hawks","Clint Capela","current roster","1","0","1","0","0","0","Guaranteed","18206896.0"
"2020-21","Atlanta Hawks","Danilo Gallinari","current roster","0","0","1","0","0","0","Guaranteed","19500000.0"
"2021-22","Atlanta Hawks","Danilo Gallinari","current roster","0","0","1","0","0","0","Guaranteed","20475000.0"
"2022-23","Atlanta Hawks","Danilo Gallinari","current roster","1","0","1","1","0","0","Non-Guaranteed","21450000.0"
"2020-21","Atlanta Hawks","De'Andre Hunter","current roster","0","0","1","0","0","0","Guaranteed","7422000.0"
"2021-22","Atlanta Hawks","De'Andre Hunter","current roster","0","0","1","0","0","0","Guaranteed","7775400.0"
"2022-23","Atlanta Hawks","De'Andre Hunter","current roster","0","0","1","0","1","0","Team Option","9835881.0"
"2023-24","Atlanta Hawks","De'Andre Hunter","current roster","1","0","1","0","0","0","Qualifying Offer","12973527.0"
"2020-21","Atlanta Hawks","John Collins","current roster","0","0","1","0","0","0","Guaranteed","4137302.0"
"2021-22","Atlanta Hawks","John Collins","current roster","1","0","1","0","0","0","Qualifying Offer","7705447.0"
"2020-21","Atlanta Hawks","Kevin Huerter","current roster","0","0","1","0","0","0","Guaranteed","2761920.0"
"2021-22","Atlanta Hawks","Kevin Huerter","current roster","0","0","1","0","0","0","Guaranteed","4253357.0"
"2022-23","Atlanta Hawks","Kevin Huerter","current roster","1","0","1","0","0","0","Qualifying Offer","6065287.0"
"2020-21","Atlanta Hawks","Khyri Thomas","W","0","0","0","0","0","0","Not With Team","744684.0"
"2020-21","Atlanta Hawks","Kris Dunn","current roster","0","0","1","0","0","0","Guaranteed","4767000.0"
"2021-22","Atlanta Hawks","Kris Dunn","current roster","1","0","1","0","0","1","Player Option","5005350.0"
"2020-21","Atlanta Hawks","Lou Williams","current roster","1","0","1","0","0","0","Guaranteed","8000000.0"
"2020-21","Atlanta Hawks","Onyeka Okongwu","current roster","0","0","1","0","0","0","Guaranteed","5813640.0"
"2021-22","Atlanta Hawks","Onyeka Okongwu","current roster","0","0","1","0","0","0","Guaranteed","6104280.0"
"2022-23","Atlanta Hawks","Onyeka Okongwu","current roster","0","0","1","0","1","0","Team Option","6395160.0"
"2023-24","Atlanta Hawks","Onyeka Okongwu","current roster","0","0","1","0","1","0","Team Option","8109063.0"
"2024-25","Atlanta Hawks","Onyeka Okongwu","current roster","1","0","1","0","0","0","Qualifying Offer","10817490.0"
"2020-21","Atlanta Hawks","Solomon Hill","current roster","1","0","1","0","0","0","Guaranteed","1620564.0"
"2020-21","Atlanta Hawks","Tony Snell","current roster","1","0","1","0","0","0","Guaranteed","12178571.0"
"2020-21","Atlanta Hawks","Trae Young","current roster","0","0","1","0","0","0","Guaranteed","6571800.0"
"2021-22","Atlanta Hawks","Trae Young","current roster","0","0","1","0","0","0","Guaranteed","8326471.0"
"2022-23","Atlanta Hawks","Trae Young","current roster","1","0","1","0","0","0","Qualifying Offer","11040900.0"
"2020-21","Boston Celtics","Aaron Nesmith","current roster","0","0","1","0","0","0","Guaranteed","3458400.0"
"2021-22","Boston Celtics","Aaron Nesmith","current roster","0","0","1","0","0","0","Guaranteed","3631200.0"
"2022-23","Boston Celtics","Aaron Nesmith","current roster","0","0","1","0","1","0","Team Option","3804360.0"
"2023-24","Boston Celtics","Aaron Nesmith","current roster","0","0","1","0","1","0","Team Option","5634257.0"
"2024-25","Boston Celtics","Aaron Nesmith","current roster","1","0","1","0","0","0","Qualifying Offer","7837251.0"
"2020-21","Boston Celtics","Carsen Edwards","current roster","0","0","1","0","0","0","Guaranteed","1517981.0"
"2021-22","Boston Celtics","Carsen Edwards","current roster","1","0","1","0","0","0","Guaranteed","1782621.0"
"2022-23","Boston Celtics","Carsen Edwards","current roster","0","0","1","0","1","0","Team Option","1930681.0"
"2020-21","Boston Celtics","Demetrius Jackson","W","0","0","0","0","0","0","Not With Team","92857.0"
"2021-22","Boston Celtics","Demetrius Jackson","W","0","0","0","0","0","0","Not With Team","92857.0"
"2022-23","Boston Celtics","Demetrius Jackson","W","0","0","0","0","0","0","Not With Team","92857.0"
"2023-24","Boston Celtics","Demetrius Jackson","W","0","0","0","0","0","0","Not With Team","92857.0"
"2020-21","Boston Celtics","Evan Fournier","current roster","1","0","1","0","0","0","Guaranteed","17450000.0"
"2020-21","Boston Celtics","Grant Williams","current roster","0","0","1","0","0","0","Guaranteed","2498760.0"
"2021-22","Boston Celtics","Grant Williams","current roster","0","0","1","0","0","0","Guaranteed","2617800.0"
"2022-23","Boston Celtics","Grant Williams","current roster","0","0","1","0","1","0","Team Option","4306281.0"
"2023-24","Boston Celtics","Grant Williams","current roster","1","0","1","0","0","0","Qualifying Offer","6235495.0"
"2020-21","Boston Celtics","Guerschon Yabusele","W","0","0","0","0","0","0","Not With Team","1039080.0"
"2021-22","Boston Celtics","Guerschon Yabusele","W","0","0","0","0","0","0","Not With Team","1039080.0"
"2020-21","Boston Celtics","Jaylen Brown","current roster","0","0","1","0","0","0","Guaranteed","23437500.0"
"2021-22","Boston Celtics","Jaylen Brown","current roster","0","0","1","0","0","0","Guaranteed","25312500.0"
"2022-23","Boston Celtics","Jaylen Brown","current roster","0","0","1","0","0","0","Guaranteed","27187500.0"
"2023-24","Boston Celtics","Jaylen Brown","current roster","1","0","1","0","0","0","Guaranteed","29062501.0"
"2020-21","Boston Celtics","Jayson Tatum","current roster","0","0","1","0","0","0","Guaranteed","9897120.0"
"2021-22","Boston Celtics","Jayson Tatum","current roster","0","0","1","0","0","0","Guaranteed","28103500.0"
"2022-23","Boston Celtics","Jayson Tatum","current roster","0","0","1","0","0","0","Guaranteed","30351780.0"
"2023-24","Boston Celtics","Jayson Tatum","current roster","0","0","1","0","0","0","Guaranteed","32600060.0"
"2024-25","Boston Celtics","Jayson Tatum","current roster","1","0","1","0","0","0","Guaranteed","34848340.0"
"2020-21","Boston Celtics","Kemba Walker","current roster","0","0","1","0","0","0","Guaranteed","34379100.0"
"2021-22","Boston Celtics","Kemba Walker","current roster","0","0","1","0","0","0","Guaranteed","36016200.0"
"2022-23","Boston Celtics","Kemba Walker","current roster","1","0","1","0","0","1","Player Option","37653300.0"
"2020-21","Boston Celtics","Luke Kornet","current roster","1","0","1","0","0","0","Guaranteed","2250000.0"
"2020-21","Boston Celtics","Marcus Smart","current roster","0","0","1","0","0","0","Guaranteed","13446428.0"
"2021-22","Boston Celtics","Marcus Smart","current roster","1","0","1","0","0","0","Guaranteed","14339285.0"
"2020-21","Boston Celtics","Moritz Wagner","current roster","1","0","1","0","0","0","Guaranteed","2161920.0"
"2020-21","Boston Celtics","Payton Pritchard","current roster","0","0","1","0","0","0","Guaranteed","2035800.0"
"2021-22","Boston Celtics","Payton Pritchard","current roster","0","0","1","0","0","0","Guaranteed","2137440.0"
"2022-23","Boston Celtics","Payton Pritchard","current roster","0","0","1","0","1","0","Team Option","2239200.0"
"2023-24","Boston Celtics","Payton Pritchard","current roster","0","0","1","0","1","0","Team Option","4037277.0"
"2024-25","Boston Celtics","Payton Pritchard","current roster","1","0","1","0","0","0","Qualifying Offer","5959022.0"
"2020-21","Boston Celtics","Robert Williams","current roster","0","0","1","0","0","0","Guaranteed","2029920.0"
"2021-22","Boston Celtics","Robert Williams","current roster","0","0","1","0","0","0","Guaranteed","3661976.0"
"2022-23","Boston Celtics","Robert Williams","current roster","1","0","1","0","0","0","Qualifying Offer","5430710.0"
"2020-21","Boston Celtics","Romeo Langford","current roster","0","0","1","0","0","0","Guaranteed","3631200.0"
"2021-22","Boston Celtics","Romeo Langford","current roster","0","0","1","0","0","0","Guaranteed","3804360.0"
"2022-23","Boston Celtics","Romeo Langford","current roster","0","0","1","0","1","0","Team Option","5634257.0"
"2023-24","Boston Celtics","Romeo Langford","current roster","1","0","1","0","0","0","Qualifying Offer","7837251.0"
"2020-21","Boston Celtics","Semi Ojeleye","current roster","1","0","1","0","0","0","Guaranteed","1752950.0"
"2021-22","Boston Celtics","Tacko Fall","current roster","1","0","1","0","0","0","Qualifying Offer","1669178.0"
"2021-22","Boston Celtics","Tremont Waters","current roster","1","0","1","0","0","0","Qualifying Offer","1669178.0"
"2020-21","Boston Celtics","Tristan Thompson","current roster","0","0","1","0","0","0","Guaranteed","9258000.0"
"2021-22","Boston Celtics","Tristan Thompson","current roster","1","0","1","0","0","0","Guaranteed","9720900.0"
"2020-21","Brooklyn Nets","Alize Johnson","E","0","0","0","0","0","0","Not With Team","110998.0"
"2020-21","Brooklyn Nets","Andre Roberson","W","0","0","0","0","0","0","Not With Team","163818.0"
"2020-21","Brooklyn Nets","Blake Griffin","current roster","1","0","1","0","0","0","Guaranteed","776873.0"
"2020-21","Brooklyn Nets","Bruce Brown Jr","current roster","0","0","1","0","0","0","Guaranteed","1663861.0"
"2021-22","Brooklyn Nets","Bruce Brown Jr","current roster","1","0","1","0","0","0","Qualifying Offer","4736102.0"
"2021-22","Brooklyn Nets","Chris Chiozza","current roster","1","0","1","0","0","0","Qualifying Offer","1729217.0"
